id,fileName,gender,sameAs,knownName.en,knownName.se,givenName.en,givenName.se,familyName.en,familyName.se,fullName.en,fullName.se,birth.date,birth.place.city.en,birth.place.city.no,birth.place.city.se,birth.place.country.en,birth.place.country.no,birth.place.country.se,birth.place.cityNow.en,birth.place.cityNow.no,birth.place.cityNow.se,birth.place.cityNow.sameAs,birth.place.cityNow.latitude,birth.place.cityNow.longitude,birth.place.countryNow.en,birth.place.countryNow.no,birth.place.countryNow.se,birth.place.countryNow.sameAs,birth.place.countryNow.latitude,birth.place.countryNow.longitude,birth.place.continent.en,birth.place.continent.no,birth.place.continent.se,birth.place.locationString.en,birth.place.locationString.no,birth.place.locationString.se,wikipedia.slug,wikipedia.english,wikidata.id,wikidata.url,death.date,death.place.city.en,death.place.city.no,death.place.city.se,death.place.country.en,death.place.country.no,death.place.country.se,death.place.country.sameAs,death.place.cityNow.en,death.place.cityNow.no,death.place.cityNow.se,death.place.cityNow.sameAs,death.place.cityNow.latitude,death.place.cityNow.longitude,death.place.countryNow.en,death.place.countryNow.no,death.place.countryNow.se,death.place.countryNow.sameAs,death.place.countryNow.latitude,death.place.countryNow.longitude,death.place.continent.en,death.place.continent.no,death.place.continent.se,death.place.locationString.en,death.place.locationString.no,death.place.locationString.se,links.rel,links.href,links.action,links.types,nobelPrizes.awardYear,nobelPrizes.sortOrder,nobelPrizes.portion,nobelPrizes.dateAwarded,nobelPrizes.prizeStatus,nobelPrizes.prizeAmount,nobelPrizes.prizeAmountAdjusted,nobelPrizes.category.en,nobelPrizes.category.no,nobelPrizes.category.se,nobelPrizes.categoryFullName.en,nobelPrizes.categoryFullName.no,nobelPrizes.categoryFullName.se,nobelPrizes.motivation.en,nobelPrizes.motivation.se,nobelPrizes.motivation.no,nobelPrizes.residences,nobelPrizes.affiliations.name.en,nobelPrizes.affiliations.name.no,nobelPrizes.affiliations.name.se,nobelPrizes.affiliations.nameNow.en,nobelPrizes.affiliations.city.en,nobelPrizes.affiliations.city.no,nobelPrizes.affiliations.city.se,nobelPrizes.affiliations.country.en,nobelPrizes.affiliations.country.no,nobelPrizes.affiliations.country.se,nobelPrizes.affiliations.cityNow.en,nobelPrizes.affiliations.cityNow.no,nobelPrizes.affiliations.cityNow.se,nobelPrizes.affiliations.cityNow.sameAs,nobelPrizes.affiliations.cityNow.latitude,nobelPrizes.affiliations.cityNow.longitude,nobelPrizes.affiliations.countryNow.en,nobelPrizes.affiliations.countryNow.no,nobelPrizes.affiliations.countryNow.se,nobelPrizes.affiliations.countryNow.sameAs,nobelPrizes.affiliations.countryNow.latitude,nobelPrizes.affiliations.countryNow.longitude,nobelPrizes.affiliations.continent.en,nobelPrizes.affiliations.locationString.en,nobelPrizes.affiliations.locationString.no,nobelPrizes.affiliations.locationString.se,nobelPrizes.links.rel,nobelPrizes.links.href,nobelPrizes.links.action,nobelPrizes.links.types
199,butenandt,male,"['https://www.wikidata.org/wiki/Q5327', 'https://en.wikipedia.org/wiki/Adolf_Butenandt']",Adolf Butenandt,Adolf Butenandt,Adolf,Adolf,Butenandt,Butenandt,Adolf Friedrich Johann Butenandt,Adolf Friedrich Johann Butenandt,1903-03-24,Bremerhaven-Lehe,Bremerhaven-Lehe,Bremerhaven-Lehe,Germany,Tyskland,Tyskland,Bremerhaven-Lehe,Bremerhaven-Lehe,Bremerhaven-Lehe,"['https://www.wikidata.org/wiki/Q2706', 'https://www.wikipedia.org/wiki/Bremerhaven']",53.550000,8.583333,Germany,Tyskland,Tyskland,['https://www.wikidata.org/wiki/Q183'],51.000000,10.000000,Europe,Europa,Europa,"Bremerhaven-Lehe, Germany","Bremerhaven-Lehe, Tyskland","Bremerhaven-Lehe, Tyskland",Adolf_Butenandt,https://en.wikipedia.org/wiki/Adolf_Butenandt,Q5327,https://www.wikidata.org/wiki/Q5327,1995-01-18,Munich,München,München,Germany,Tyskland,Tyskland,https://www.wikidata.org/wiki/Q183,Munich,München,München,"['https://www.wikidata.org/wiki/Q1726', 'https://www.wikipedia.org/wiki/Munich']",48.134703,11.581995,Germany,Tyskland,Tyskland,['https://www.wikidata.org/wiki/Q183'],51.000000,10.000000,Europe,Europa,Europa,"Munich, Germany","München, Tyskland","München, Tyskland",laureate,https://api.nobelprize.org/2/laureate/199,GET,application/json,1939,1,1/2,1939-11-09,received,148822,5197496,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for his work on sex hormones,för hans arbeten över sexualhormoner,,,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Berlin-Dahlem,Berlin-Dahlem,Germany,Tyskland,Tyskland,Berlin-Dahlem,Berlin-Dahlem,Berlin-Dahlem,"['https://www.wikidata.org/wiki/Q700541', 'https://www.wikipedia.org/wiki/Dahlem_(Berlin)']",52.453739,13.293130,Germany,Tyskland,Tyskland,['https://www.wikidata.org/wiki/Q183'],51.000000,10.000000,Europe,"Berlin-Dahlem, Germany","Berlin-Dahlem, Tyskland","Berlin-Dahlem, Tyskland",nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1939,GET,application/json
164,baeyer,male,"['https://www.wikidata.org/wiki/Q57078', 'https://en.wikipedia.org/wiki/Adolf_von_Baeyer']",Adolf von Baeyer,Adolf von Baeyer,Adolf,Adolf,von Baeyer,von Baeyer,Johann Friedrich Wilhelm Adolf von Baeyer,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,Berlin,Berlin,Berlin,Prussia,Preussen,Preussen,Berlin,Berlin,Berlin,"['https://www.wikidata.org/wiki/Q64', 'https://www.wikipedia.org/wiki/Berlin']",52.522265,13.406852,Germany,Tyskland,Tyskland,['https://www.wikidata.org/wiki/Q183'],51.000000,10.000000,Europe,Europa,Europa,"Berlin, Prussia (now Germany)","Berlin, Preussen (nå Tyskland)","Berlin, Preussen (nu Tyskland)",Adolf_von_Baeyer,https://en.wikipedia.org/wiki/Adolf_von_Baeyer,Q57078,https://www.wikidata.org/wiki/Q57078,1917-08-20,Starnberg,Starnberg,Starnberg,Germany,Tyskland,Tyskland,https://www.wikidata.org/wiki/Q183,Starnberg,Starnberg,Starnberg,"['https://www.wikidata.org/wiki/Q61936', 'https://www.wikipedia.org/wiki/Starnberg']",48.000536,11.342857,Germany,Tyskland,Tyskland,['https://www.wikidata.org/wiki/Q183'],51.000000,10.000000,Europe,Europa,Europa,"Starnberg, Germany","Starnberg, Tyskland","Starnberg, Tyskland",laureate,https://api.nobelprize.org/2/laureate/164,GET,application/json,1905,1,1,1905-11-09,received,138089,9361622,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",såsom ett erkännande av den förtjänst han inlagt om den organiska kemiens och den kemiska industriens utveckling genom sina arbeten rörande organiska färgämnen och hydroaromatiska föreningar,,,Munich University,Munich University,Munich University,Munich University,Munich,München,München,Germany,Tyskland,Tyskland,Munich,München,München,"['https://www.wikidata.org/wiki/Q1726', 'https://www.wikipedia.org/wiki/Munich']",48.134703,11.581995,Germany,Tyskland,Tyskland,['https://www.wikidata.org/wiki/Q183'],51.000000,10.000000,Europe,"Munich, Germany","München, Tyskland","München, Tyskland",nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1905,GET,application/json
185,windaus,male,"['https://www.wikidata.org/wiki/Q77142', 'https://en.wikipedia.org/wiki/Adolf_Otto_Reinhold_Windaus']",Adolf Windaus,Adolf Windaus,Adolf,Adolf,Windaus,Windaus,Adolf Otto Reinhold Windaus,Adolf Otto Reinhold Windaus,1876-12-25,Berlin,Berlin,Berlin,Germany,Tyskland,Tyskland,Berlin,Berlin,Berlin,"['https://www.wikidata.org/wiki/Q64', 'https://www.wikipedia.org/wiki/Berlin']",52.522265,13.406852,Germany,Tyskland,Tyskland,['https://www.wikidata.org/wiki/Q183'],51.000000,10.000000,Europe,Europa,Europa,"Berlin, Germany","Berlin, Tyskland","Berlin, Tyskland",Adolf_Otto_Reinhold_Windaus,https://en.wikipedia.org/wiki/Adolf_Otto_Reinhold_Windaus,Q77142,https://www.wikidata.org/wiki/Q77142,1959-06-09,Göttingen,Göttingen,Göttingen,West Germany,Vest-Tyskland,Västtyskland,,Göttingen,Göttingen,Göttingen,"['https://www.wikidata.org/wiki/Q3033', 'https://www.wikipedia.org/wiki/G%C3%B6ttingen']",51.539385,9.913113,Germany,Tyskland,Tyskland,['https://www.wikidata.org/wiki/Q183'],51.000000,10.000000,Europe,Europa,Europa,"Göttingen, West Germany (now Germany)","Göttingen, Vest-Tyskland (nå Tyskland)","Göttingen, Västtyskland (nu Tyskland)",laureate,https://api.nobelprize.org/2/laureate/185,GET,application/json,1928,1,1,1928-11-13,received,156939,5480976,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,för hans förtjänster om utforskandet av sterinernas konstitution och deras samband med vitamingruppen,,,Goettingen University,Goettingen University,Goettingen University,Goettingen University,Göttingen,Göttingen,Göttingen,Germany,Tyskland,Tyskland,Göttingen,Göttingen,Göttingen,"['https://www.wikidata.org/wiki/Q3033', 'https://www.wikipedia.org/wiki/G%C3%B6ttingen']",51.539385,9.913113,Germany,Tyskland,Tyskland,['https://www.wikidata.org/wiki/Q183'],51.000000,10.000000,Europe,"Göttingen, Germany","Göttingen, Tyskland","Göttingen, Tyskland",nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1928,GET,application/json
541,esquivel,male,"['https://www.wikidata.org/wiki/Q206505', 'https://en.wikipedia.org/wiki/Adolfo_Pérez_Esquivel']",Adolfo Pérez Esquivel,Adolfo Pérez Esquivel,Adolfo,Adolfo,Pérez Esquivel,Pérez Esquivel,Adolfo Pérez Esquivel,Adolfo Pérez Esquivel,1931-11-26,Buenos Aires,Buenos Aires,Buenos Aires,Argentina,Argentina,Argentina,Buenos Aires,Buenos Aires,Buenos Aires,"['https://www.wikidata.org/wiki/Q1486', 'https://www.wikipedia.org/wiki/Buenos_Aires']",-34.603443,-58.396729,Argentina,Argentina,Argentina,['https://www.wikidata.org/wiki/Q414'],-34.000000,-64.000000,South America,Sør-Amerika,Sydamerika,"Buenos Aires, Argentina","Buenos Aires, Argentina","Buenos Aires, Argentina",Adolfo_Pérez_Esquivel,https://en.wikipedia.org/wiki/Adolfo_Pérez_Esquivel,Q206505,https://www.wikidata.org/wiki/Q206505,,,,,,,,,,,,,,,,,,,,,,,,,,,laureate,https://api.nobelprize.org/2/laureate/541,GET,application/json,1980,1,1,1980-10-27,received,880000,3552364,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for being a source of inspiration to repressed people, especially in Latin America",,"for rollen som inspirator for undertrykte mennesker, særlig i Latin-Amerika","[{'country': {'en': 'Argentina', 'no': 'Argentina', 'se': 'Argentina'}, 'countryNow': {'en': 'Argentina', 'no': 'Argentina', 'se': 'Argentina'}, 'continent': {'en': 'South America'}, 'locationString': {'en': 'Argentina', 'no': 'Argentina', 'se': 'Argentina'}}]",,,,,,,,,,,,,,,,,,,,,,,,,,,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1980,GET,application/json
292,zewail,male,"['https://www.wikidata.org/wiki/Q106624', 'https://en.wikipedia.org/wiki/Ahmed_Zewail']",Ahmed Zewail,Ahmed Zewail,Ahmed,Ahmed,Zewail,Zewail,Ahmed H. Zewail,Ahmed H. Zewail,1946-02-26,Damanhur,Damanhur,Damanhur,Egypt,Egypt,Egypten,Damanhur,Damanhur,Damanhur,"['https://www.wikidata.org/wiki/Q328153', 'https://www.wikipedia.org/wiki/Damanhur']",31.050000,30.466667,Egypt,Egypt,Egypten,['https://www.wikidata.org/wiki/Q79'],27.000000,29.000000,Africa,Afrika,Afrika,"Damanhur, Egypt","Damanhur, Egypt","Damanhur, Egypten",Ahmed_Zewail,https://en.wikipedia.org/wiki/Ahmed_Zewail,Q106624,https://www.wikidata.org/wiki/Q106624,2016-08-02,"Pasadena, CA","Pasadena, CA","Pasadena, CA",USA,USA,USA,https://www.wikidata.org/wiki/Q30,"Pasadena, CA","Pasadena, CA","Pasadena, CA","['https://www.wikidata.org/wiki/Q485176', 'https://www.wikipedia.org/wiki/Pasadena,_California']",34.150071,-118.142111,USA,USA,USA,['https://www.wikidata.org/wiki/Q30'],39.828175,-98.579500,North America,Nord-Amerika,Nordamerika,"Pasadena, CA, USA","Pasadena, CA, USA","Pasadena, CA, USA",laureate,https://api.nobelprize.org/2/laureate/292,GET,application/json,1999,1,1,1999-10-12,received,7900000,12353799,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,för hans studier av kemiska reaktioners övergångstillstånd med femtosekundspektroskopi,,,California Institute of Technology (Caltech),California Institute of Technology (Caltech),California Institute of Technology (Caltech),California Institute of Technology (Caltech),"Pasadena, CA","Pasadena, CA","Pasadena, CA",USA,USA,USA,"Pasadena, CA","Pasadena, CA","Pasadena, CA","['https://www.wikidata.org/wiki/Q485176', 'https://www.wikipedia.org/wiki/Pasadena,_California']",34.150071,-118.142111,USA,USA,USA,['https://www.wikidata.org/wiki/Q30'],39.828175,-98.579500,North America,"Pasadena, CA, USA","Pasadena, CA, USA","Pasadena, CA, USA",nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1999,GET,application/json
853,suzuki,male,"['https://www.wikidata.org/wiki/Q105949', 'https://en.wikipedia.org/wiki/Akira_Suzuki_(chemist)']",Akira Suzuki,Akira Suzuki,Akira,Akira,Suzuki,Suzuki,Akira Suzuki,Akira Suzuki,1930-09-12,Mukawa,Mukawa,Mukawa,Japan,Japan,Japan,Mukawa,Mukawa,Mukawa,"['https://www.wikidata.org/wiki/Q1187152', 'https://www.wikipedia.org/wiki/Mukawa,_Hokkaido']",42.574750,141.926750,Japan,Japan,Japan,['https://www.wikidata.org/wiki/Q17'],35.000000,136.000000,Asia,Asia,Asien,"Mukawa, Japan","Mukawa, Japan","Mukawa, Japan",Akira_Suzuki_(chemist),https://en.wikipedia.org/wiki/Akira_Suzuki_(chemist),Q105949,https://www.wikidata.org/wiki/Q105949,,,,,,,,,,,,,,,,,,,,,,,,,,,laureate,https://api.nobelprize.org/2/laureate/853,GET,application/json,2010,3,1/3,2010-10-06,received,10000000,13300635,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for palladium-catalyzed cross couplings in organic synthesis,för palladiumkatalyserade korskopplingar i organisk syntes,,,Hokkaido University,Hokkaido University,Hokkaido University,Hokkaido University,Sapporo,Sapporo,Sapporo,Japan,Japan,Japan,Sapporo,Sapporo,Sapporo,"['https://www.wikidata.org/wiki/Q37951', 'https://www.wikipedia.org/wiki/Sapporo']",43.062096,141.354376,Japan,Japan,Japan,['https://www.wikidata.org/wiki/Q17'],35.000000,136.000000,Asia,"Sapporo, Japan","Sapporo, Japan","Sapporo, Japan",nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2010,GET,application/json
978,yoshino,male,"['https://www.wikidata.org/wiki/Q4701206', 'https://en.wikipedia.org/wiki/Akira_Yoshino']",Akira Yoshino,Akira Yoshino,Akira,Akira,Yoshino,Yoshino,Akira Yoshino,Akira Yoshino,1948-01-30,Suita,Suita,Suita,Japan,Japan,Japan,Suita,Suita,Suita,"['https://www.wikidata.org/wiki/Q653510', 'https://www.wikipedia.org/wiki/Suita']",34.764885,135.517349,Japan,Japan,Japan,['https://www.wikidata.org/wiki/Q17'],35.000000,136.000000,Asia,Asia,Asien,"Suita, Japan","Suita, Japan","Suita, Japan",Akira_Yoshino,https://en.wikipedia.org/wiki/Akira_Yoshino,Q4701206,https://www.wikidata.org/wiki/Q4701206,,,,,,,,,,,,,,,,,,,,,,,,,,,laureate,https://api.nobelprize.org/2/laureate/978,GET,application/json,2019,3,1/3,2019-10-09,received,9000000,10866946,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for the development of lithium-ion batteries,för utveckling av litiumjonbatterier,,,Asahi Kasei Corporation,Asahi Kasei Corporation,Asahi Kasei Corporation,Asahi Kasei Corporation,Tokyo,Tokyo,Tokyo,Japan,Japan,Japan,Tokyo,Tokyo,Tokyo,"['https://www.wikidata.org/wiki/Q1490', 'https://www.wikipedia.org/wiki/Tokyo']",35.680183,139.769373,Japan,Japan,Japan,['https://www.wikidata.org/wiki/Q17'],35.000000,136.000000,Asia,"Tokyo, Japan","Tokyo, Japan","Tokyo, Japan",nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2019,GET,application/json
819,gore,male,"['https://www.wikidata.org/wiki/Q19673', 'https://en.wikipedia.org/wiki/Al_Gore']",Al Gore,Al Gore,Al,Al,Gore,Gore,Albert Arnold (Al) Gore  Jr.,Albert Arnold (Al) Gore  Jr.,1948-03-31,"Washington, D.C.","Washington, D.C.","Washington, D.C.",USA,USA,USA,"Washington, D.C.","Washington, D.C.","Washington, D.C.","['https://www.wikidata.org/wiki/Q61', 'https://www.wikipedia.org/wiki/Washington,_D.C.']",38.899065,-77.036523,USA,USA,USA,['https://www.wikidata.org/wiki/Q30'],39.828175,-98.579500,North America,Nord-Amerika,Nordamerika,"Washington, D.C., USA","Washington, D.C., USA","Washington, D.C., USA",Al_Gore,https://en.wikipedia.org/wiki/Al_Gore,Q19673,https://www.wikidata.org/wiki/Q19673,,,,,,,,,,,,,,,,,,,,,,,,,,,laureate,https://api.nobelprize.org/2/laureate/819,GET,application/json,2007,2,1/2,2007-10-12,received,10000000,13893912,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",,for deira innsats for å skape og spreie større kunnskap om menneskeskapte klimaendringar og for å leggje grunnlag for dei tiltaka som krevst for å motverke desse endringane,"[{'country': {'en': 'USA', 'no': 'USA', 'se': 'USA'}, 'countryNow': {'en': 'USA', 'no': 'USA', 'se': 'USA'}, 'continent': {'en': 'North America'}, 'locationString': {'en': 'USA', 'no': 'USA', 'se': 'USA'}}]",,,,,,,,,,,,,,,,,,,,,,,,,,,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/2007,GET,application/json
1012,aspect,male,"['https://www.wikidata.org/wiki/Q364997', 'https://en.wikipedia.org/wiki/Alain_Aspect']",Alain Aspect,Alain Aspect,Alain,Alain,Aspect,Aspect,Alain Aspect,Alain Aspect,1947-06-15,Agen,Agen,Agen,France,Frankrike,Frankrike,Agen,Agen,Agen,"['https://www.wikidata.org/wiki/Q6625', 'https://www.wikipedia.org/wiki/Agen']",44.203056,0.618611,France,Frankrike,Frankrike,['https://www.wikidata.org/wiki/Q142'],47.000000,2.000000,Europe,Europa,Europa,"Agen, France","Agen, Frankrike","Agen, Frankrike",Alain_Aspect,https://en.wikipedia.org/wiki/Alain_Aspect,Q364997,https://www.wikidata.org/wiki/Q364997,,,,,,,,,,,,,,,,,,,,,,,,,,,laureate,https://api.nobelprize.org/2/laureate/1012,GET,application/json,2022,1,1/3,2022-10-04,received,10000000,10852166,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",för experiment med sammanfätade fotoner som påvisat brott mot Bell-olikheter och  banat väg för kvantinformationsvetenskap,,,Institut d’Optique Graduate School – Université Paris-Saclay,Institut d’Optique Graduate School – Université Paris-Saclay,Institut d’Optique Graduate School – Université Paris-Saclay,Institut d’Optique Graduate School – Université Paris-Saclay,Paris,Paris,Paris,France,Frankrike,Frankrike,Paris,Paris,Paris,"['https://www.wikidata.org/wiki/Q90', 'https://www.wikipedia.org/wiki/Paris']",48.860093,2.355954,France,Frankrike,Frankrike,['https://www.wikidata.org/wiki/Q142'],47.000000,2.000000,Europe,"Paris, France","Paris, Frankrike","Paris, Frankrike",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2022,GET,application/json
729,heeger,male,"['https://www.wikidata.org/wiki/Q106751', 'https://en.wikipedia.org/wiki/Alan_J._Heeger']",Alan Heeger,Alan Heeger,Alan,Alan,Heeger,Heeger,Alan J. Heeger,Alan J. Heeger,1936-01-22,"Sioux City, IA","Sioux City, IA","Sioux City, IA",USA,USA,USA,"Sioux City, IA","Sioux City, IA","Sioux City, IA","['https://www.wikidata.org/wiki/Q489255', 'https://www.wikipedia.org/wiki/Sioux_City,_Iowa']",42.496681,-96.405876,USA,USA,USA,['https://www.wikidata.org/wiki/Q30'],39.828175,-98.579500,North America,Nord-Amerika,Nordamerika,"Sioux City, IA, USA","Sioux City, IA, USA","Sioux City, IA, USA",Alan_J._Heeger,https://en.wikipedia.org/wiki/Alan_J._Heeger,Q106751,https://www.wikidata.org/wiki/Q106751,,,,,,,,,,,,,,,,,,,,,,,,,,,laureate,https://api.nobelprize.org/2/laureate/729,GET,application/json,2000,1,1/3,2000-10-10,received,9000000,13932169,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for the discovery and development of conductive polymers,för upptäckten och utvecklandet av ledande polymerer,,,University of California,University of California,University of California,University of California,"Santa Barbara, CA","Santa Barbara, CA","Santa Barbara, CA",USA,USA,USA,"Santa Barbara, CA","Santa Barbara, CA","Santa Barbara, CA","['https://www.wikidata.org/wiki/Q159288', 'https://www.wikipedia.org/wiki/Santa_Barbara,_California']",34.419237,-119.702479,USA,USA,USA,['https://www.wikidata.org/wiki/Q30'],39.828175,-98.579500,North America,"Santa Barbara, CA, USA","Santa Barbara, CA, USA","Santa Barbara, CA, USA",nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2000,GET,application/json
376,hodgkin,male,"['https://www.wikidata.org/wiki/Q193650', 'https://en.wikipedia.org/wiki/Alan_Lloyd_Hodgkin']",Alan Hodgkin,Alan Hodgkin,Alan,Alan,Hodgkin,Hodgkin,Alan Lloyd Hodgkin,Alan Lloyd Hodgkin,1914-02-05,Banbury,Banbury,Banbury,United Kingdom,Storbritannia,Storbritannien,Banbury,Banbury,Banbury,"['https://www.wikidata.org/wiki/Q806160', 'https://www.wikipedia.org/wiki/Banbury']",52.061389,-1.339167,United Kingdom,Storbritannia,Storbritannien,['https://www.wikidata.org/wiki/Q145'],54.600000,-2.000000,Europe,Europa,Europa,"Banbury, United Kingdom","Banbury, Storbritannia","Banbury, Storbritannien",Alan_Lloyd_Hodgkin,https://en.wikipedia.org/wiki/Alan_Lloyd_Hodgkin,Q193650,https://www.wikidata.org/wiki/Q193650,1998-12-20,Cambridge,Cambridge,Cambridge,United Kingdom,Storbritannia,Storbritannien,https://www.wikidata.org/wiki/Q145,Cambridge,Cambridge,Cambridge,"['https://www.wikidata.org/wiki/Q350', 'https://www.wikipedia.org/wiki/Cambridge']",52.194605,0.135092,United Kingdom,Storbritannia,Storbritannien,['https://www.wikidata.org/wiki/Q145'],54.600000,-2.000000,Europe,Europa,Europa,"Cambridge, United Kingdom","Cambridge, Storbritannia","Cambridge, Storbritannien",laureate,https://api.nobelprize.org/2/laureate/376,GET,application/json,1963,2,1/3,1963-10-17,received,265000,3490429,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,för deras upptäckter rörande jonmekanismerna vid retning och hämning i nervcellernas perifera och centrala membranavsnitt,,,University of Cambridge,University of Cambridge,University of Cambridge,University of Cambridge,Cambridge,Cambridge,Cambridge,United Kingdom,Storbritannia,Storbritannien,Cambridge,Cambridge,Cambridge,"['https://www.wikidata.org/wiki/Q350', 'https://www.wikipedia.org/wiki/Cambridge']",52.194605,0.135092,United Kingdom,Storbritannia,Storbritannien,['https://www.wikidata.org/wiki/Q145'],54.600000,-2.000000,Europe,"Cambridge, United Kingdom","Cambridge, Storbritannia","Cambridge, Storbritannien",nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1963,GET,application/json
730,macdiarmid,male,"['https://www.wikidata.org/wiki/Q110942', 'https://en.wikipedia.org/wiki/Alan_MacDiarmid']",Alan MacDiarmid,Alan MacDiarmid,Alan,Alan,MacDiarmid,MacDiarmid,Alan G. MacDiarmid,Alan G. MacDiarmid,1927-04-14,Masterton,Masterton,Masterton,New Zealand,New Zealand,Nya Zeeland,Masterton,Masterton,Masterton,"['https://www.wikidata.org/wiki/Q1223916', 'https://www.wikipedia.org/wiki/Masterton']",-40.966667,175.650000,New Zealand,New Zealand,Nya Zeeland,['https://www.wikidata.org/wiki/Q664'],-41.200000,174.000000,Oceania,Oseania,Oceanien,"Masterton, New Zealand","Masterton, New Zealand","Masterton, Nya Zeeland",Alan_MacDiarmid,https://en.wikipedia.org/wiki/Alan_MacDiarmid,Q110942,https://www.wikidata.org/wiki/Q110942,2007-02-07,"Drexel Hill, PA","Drexel Hill, PA","Drexel Hill, PA",USA,USA,USA,https://www.wikidata.org/wiki/Q30,"Drexel Hill, PA","Drexel Hill, PA","Drexel Hill, PA","['https://www.wikidata.org/wiki/Q1132763', 'https://www.wikipedia.org/wiki/Drexel_Hill,_Pennsylvania']",39.947056,-75.292130,USA,USA,USA,['https://www.wikidata.org/wiki/Q30'],39.828175,-98.579500,North America,Nord-Amerika,Nordamerika,"Drexel Hill, PA, USA","Drexel Hill, PA, USA","Drexel Hill, PA, USA",laureate,https://api.nobelprize.org/2/laureate/730,GET,application/json,2000,2,1/3,2000-10-10,received,9000000,13932169,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for the discovery and development of conductive polymers,för upptäckten och utvecklandet av ledande polymerer,,,University of Pennsylvania,University of Pennsylvania,University of Pennsylvania,University of Pennsylvania,"Philadelphia, PA","Philadelphia, PA","Philadelphia, PA",USA,USA,USA,"Philadelphia, PA","Philadelphia, PA","Philadelphia, PA","['https://www.wikidata.org/wiki/Q1345', 'https://www.wikipedia.org/wiki/Philadelphia']",39.957132,-75.174342,USA,USA,USA,['https://www.wikidata.org/wiki/Q30'],39.828175,-98.579500,North America,"Philadelphia, PA, USA","Philadelphia, PA, USA","Philadelphia, PA, USA",nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2000,GET,application/json
